source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,intersection_query_percent,effective_domain_size,intersections
GO:BP,cellular process,GO:0009987,FALSE,0.001620729,2.790289509,20955,142,131,92.25352113,27334,"ENSMUSG00000031897,ENSMUSG00000021303,ENSMUSG00000061306,ENSMUSG00000038628,ENSMUSG00000044627,ENSMUSG00000024608,ENSMUSG00000028411,ENSMUSG00000059713,ENSMUSG00000001323,ENSMUSG00000047675,ENSMUSG00000034902,ENSMUSG00000038437,ENSMUSG00000024219,ENSMUSG00000034485,ENSMUSG00000000088,ENSMUSG00000002395,ENSMUSG00000028447,ENSMUSG00000025508,ENSMUSG00000036180,ENSMUSG00000018411,ENSMUSG00000022205,ENSMUSG00000037754,ENSMUSG00000021520,ENSMUSG00000027438,ENSMUSG00000050708,ENSMUSG00000002580,ENSMUSG00000037805,ENSMUSG00000038366,ENSMUSG00000032171,ENSMUSG00000070493,ENSMUSG00000038453,ENSMUSG00000000823,ENSMUSG00000038717,ENSMUSG00000026087,ENSMUSG00000018567,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000039183,ENSMUSG00000060803,ENSMUSG00000073616,ENSMUSG00000052928,ENSMUSG00000063632,ENSMUSG00000051853,ENSMUSG00000062006,ENSMUSG00000024654,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000021061,ENSMUSG00000029761,ENSMUSG00000008036,ENSMUSG00000018547,ENSMUSG00000021143,ENSMUSG00000024743,ENSMUSG00000041881,ENSMUSG00000030172,ENSMUSG00000043557,ENSMUSG00000054455,ENSMUSG00000034613,ENSMUSG00000025241,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000025025,ENSMUSG00000025144,ENSMUSG00000028677,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000067629,ENSMUSG00000022390,ENSMUSG00000026123,ENSMUSG00000031818,ENSMUSG00000008668,ENSMUSG00000032788,ENSMUSG00000032890,ENSMUSG00000049517,ENSMUSG00000053395,ENSMUSG00000031819,ENSMUSG00000025290,ENSMUSG00000037499,ENSMUSG00000053617,ENSMUSG00000063063,ENSMUSG00000073436,ENSMUSG00000079435,ENSMUSG00000006575,ENSMUSG00000027890,ENSMUSG00000022770,ENSMUSG00000089715,ENSMUSG00000029614,ENSMUSG00000021557,ENSMUSG00000020658,ENSMUSG00000042462,ENSMUSG00000001211,ENSMUSG00000000915,ENSMUSG00000003072,ENSMUSG00000084786,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000020440,ENSMUSG00000019066,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000070738,ENSMUSG00000015709,ENSMUSG00000067847,ENSMUSG00000028998,ENSMUSG00000033020,ENSMUSG00000014294,ENSMUSG00000062580,ENSMUSG00000029632,ENSMUSG00000022389,ENSMUSG00000039850,ENSMUSG00000038020,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000054728,ENSMUSG00000032399,ENSMUSG00000026275,ENSMUSG00000030000,ENSMUSG00000031029,ENSMUSG00000026918,ENSMUSG00000045128,ENSMUSG00000040356,ENSMUSG00000011589,ENSMUSG00000042901,ENSMUSG00000040952,ENSMUSG00000077450,ENSMUSG00000009073,ENSMUSG00000032479"
GO:BP,metabolic process,GO:0008152,FALSE,0.002328357,2.632950482,14671,142,104,73.23943662,27334,"ENSMUSG00000031897,ENSMUSG00000038628,ENSMUSG00000044627,ENSMUSG00000024608,ENSMUSG00000028411,ENSMUSG00000001323,ENSMUSG00000047675,ENSMUSG00000034902,ENSMUSG00000038437,ENSMUSG00000024219,ENSMUSG00000000088,ENSMUSG00000025508,ENSMUSG00000036180,ENSMUSG00000018411,ENSMUSG00000030729,ENSMUSG00000022205,ENSMUSG00000037754,ENSMUSG00000021520,ENSMUSG00000037805,ENSMUSG00000032171,ENSMUSG00000070493,ENSMUSG00000038453,ENSMUSG00000000823,ENSMUSG00000038717,ENSMUSG00000026087,ENSMUSG00000018567,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000039183,ENSMUSG00000060803,ENSMUSG00000073616,ENSMUSG00000052928,ENSMUSG00000063632,ENSMUSG00000062006,ENSMUSG00000024654,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000018547,ENSMUSG00000021143,ENSMUSG00000041881,ENSMUSG00000074748,ENSMUSG00000030172,ENSMUSG00000034613,ENSMUSG00000025241,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000025025,ENSMUSG00000025144,ENSMUSG00000028677,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000022390,ENSMUSG00000031818,ENSMUSG00000008668,ENSMUSG00000032788,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000053617,ENSMUSG00000073436,ENSMUSG00000079435,ENSMUSG00000027890,ENSMUSG00000022770,ENSMUSG00000089715,ENSMUSG00000029614,ENSMUSG00000021557,ENSMUSG00000020658,ENSMUSG00000042462,ENSMUSG00000001211,ENSMUSG00000000915,ENSMUSG00000003072,ENSMUSG00000084786,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000019066,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000070738,ENSMUSG00000015709,ENSMUSG00000067847,ENSMUSG00000028998,ENSMUSG00000033020,ENSMUSG00000014294,ENSMUSG00000062580,ENSMUSG00000029632,ENSMUSG00000022389,ENSMUSG00000039850,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000054728,ENSMUSG00000032399,ENSMUSG00000026275,ENSMUSG00000031029,ENSMUSG00000026918,ENSMUSG00000045128,ENSMUSG00000040356,ENSMUSG00000042901,ENSMUSG00000040785,ENSMUSG00000040952,ENSMUSG00000077450,ENSMUSG00000009073"
GO:BP,ribosomal small subunit biogenesis,GO:0042274,TRUE,0.002749213,2.56079158,68,142,6,4.225352113,27334,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000067288,ENSMUSG00000025290,ENSMUSG00000061477,ENSMUSG00000040952"
GO:BP,oxidative phosphorylation,GO:0006119,TRUE,0.00277596,2.556586819,154,142,8,5.633802817,27334,"ENSMUSG00000000088,ENSMUSG00000021520,ENSMUSG00000070493,ENSMUSG00000041881,ENSMUSG00000059734,ENSMUSG00000031818,ENSMUSG00000003072,ENSMUSG00000014294"
GO:BP,cellular component organization or biogenesis,GO:0071840,FALSE,0.005303591,2.275429968,7724,142,66,46.47887324,27334,"ENSMUSG00000021303,ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000034902,ENSMUSG00000034485,ENSMUSG00000002395,ENSMUSG00000036180,ENSMUSG00000018411,ENSMUSG00000022205,ENSMUSG00000037754,ENSMUSG00000027438,ENSMUSG00000002580,ENSMUSG00000032171,ENSMUSG00000070493,ENSMUSG00000038453,ENSMUSG00000018567,ENSMUSG00000032060,ENSMUSG00000039183,ENSMUSG00000098274,ENSMUSG00000021061,ENSMUSG00000029761,ENSMUSG00000018547,ENSMUSG00000021143,ENSMUSG00000024743,ENSMUSG00000030172,ENSMUSG00000043557,ENSMUSG00000054455,ENSMUSG00000025241,ENSMUSG00000025144,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000067629,ENSMUSG00000032890,ENSMUSG00000049517,ENSMUSG00000031819,ENSMUSG00000025290,ENSMUSG00000063063,ENSMUSG00000073436,ENSMUSG00000022770,ENSMUSG00000089715,ENSMUSG00000029614,ENSMUSG00000021557,ENSMUSG00000000915,ENSMUSG00000003072,ENSMUSG00000061477,ENSMUSG00000008682,ENSMUSG00000070738,ENSMUSG00000067847,ENSMUSG00000028998,ENSMUSG00000014294,ENSMUSG00000062580,ENSMUSG00000036698,ENSMUSG00000054728,ENSMUSG00000032399,ENSMUSG00000030000,ENSMUSG00000031029,ENSMUSG00000026918,ENSMUSG00000011589,ENSMUSG00000042901,ENSMUSG00000040952,ENSMUSG00000009073,ENSMUSG00000032479"
GO:BP,mitochondrial ATP synthesis coupled electron transport,GO:0042775,FALSE,0.00717194,2.144363348,80,142,6,4.225352113,27334,"ENSMUSG00000000088,ENSMUSG00000021520,ENSMUSG00000070493,ENSMUSG00000041881,ENSMUSG00000059734,ENSMUSG00000031818"
GO:BP,ATP synthesis coupled electron transport,GO:0042773,FALSE,0.008286371,2.0816356,82,142,6,4.225352113,27334,"ENSMUSG00000000088,ENSMUSG00000021520,ENSMUSG00000070493,ENSMUSG00000041881,ENSMUSG00000059734,ENSMUSG00000031818"
GO:BP,electron transport chain,GO:0022900,FALSE,0.012347393,1.908424745,134,142,7,4.929577465,27334,"ENSMUSG00000000088,ENSMUSG00000021520,ENSMUSG00000070493,ENSMUSG00000041881,ENSMUSG00000059734,ENSMUSG00000031818,ENSMUSG00000014294"
GO:BP,regulation of cellular component organization,GO:0051128,FALSE,0.017506104,1.756810507,2479,142,30,21.12676056,27334,"ENSMUSG00000021303,ENSMUSG00000034902,ENSMUSG00000018411,ENSMUSG00000022205,ENSMUSG00000037754,ENSMUSG00000027438,ENSMUSG00000002580,ENSMUSG00000032171,ENSMUSG00000038453,ENSMUSG00000032060,ENSMUSG00000021061,ENSMUSG00000018547,ENSMUSG00000024743,ENSMUSG00000043557,ENSMUSG00000025241,ENSMUSG00000074129,ENSMUSG00000006435,ENSMUSG00000054428,ENSMUSG00000067629,ENSMUSG00000032890,ENSMUSG00000063063,ENSMUSG00000022770,ENSMUSG00000000915,ENSMUSG00000070738,ENSMUSG00000032399,ENSMUSG00000030000,ENSMUSG00000011589,ENSMUSG00000042901,ENSMUSG00000009073,ENSMUSG00000032479"
GO:BP,cellular component organization,GO:0016043,FALSE,0.022542399,1.646999875,7525,142,63,44.36619718,27334,"ENSMUSG00000021303,ENSMUSG00000024608,ENSMUSG00000034902,ENSMUSG00000034485,ENSMUSG00000002395,ENSMUSG00000036180,ENSMUSG00000018411,ENSMUSG00000022205,ENSMUSG00000037754,ENSMUSG00000027438,ENSMUSG00000002580,ENSMUSG00000032171,ENSMUSG00000070493,ENSMUSG00000038453,ENSMUSG00000018567,ENSMUSG00000032060,ENSMUSG00000039183,ENSMUSG00000098274,ENSMUSG00000021061,ENSMUSG00000029761,ENSMUSG00000018547,ENSMUSG00000021143,ENSMUSG00000024743,ENSMUSG00000030172,ENSMUSG00000043557,ENSMUSG00000054455,ENSMUSG00000025241,ENSMUSG00000025144,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000067629,ENSMUSG00000032890,ENSMUSG00000049517,ENSMUSG00000031819,ENSMUSG00000063063,ENSMUSG00000073436,ENSMUSG00000022770,ENSMUSG00000089715,ENSMUSG00000029614,ENSMUSG00000021557,ENSMUSG00000000915,ENSMUSG00000003072,ENSMUSG00000008682,ENSMUSG00000070738,ENSMUSG00000067847,ENSMUSG00000028998,ENSMUSG00000014294,ENSMUSG00000062580,ENSMUSG00000036698,ENSMUSG00000054728,ENSMUSG00000032399,ENSMUSG00000030000,ENSMUSG00000031029,ENSMUSG00000026918,ENSMUSG00000011589,ENSMUSG00000042901,ENSMUSG00000040952,ENSMUSG00000009073,ENSMUSG00000032479"
GO:BP,aerobic respiration,GO:0009060,FALSE,0.027346953,1.563091058,210,142,8,5.633802817,27334,"ENSMUSG00000000088,ENSMUSG00000021520,ENSMUSG00000070493,ENSMUSG00000041881,ENSMUSG00000059734,ENSMUSG00000031818,ENSMUSG00000003072,ENSMUSG00000014294"
GO:BP,respiratory electron transport chain,GO:0022904,FALSE,0.042724111,1.369326965,109,142,6,4.225352113,27334,"ENSMUSG00000000088,ENSMUSG00000021520,ENSMUSG00000070493,ENSMUSG00000041881,ENSMUSG00000059734,ENSMUSG00000031818"
GO:BP,aerobic electron transport chain,GO:0019646,FALSE,0.04866798,1.312756677,67,142,5,3.521126761,27334,"ENSMUSG00000000088,ENSMUSG00000021520,ENSMUSG00000041881,ENSMUSG00000059734,ENSMUSG00000031818"
GO:CC,cytosolic ribosome,GO:0022626,TRUE,1.18E-22,21.92677832,115,142,20,14.08450704,27387,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000003429,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000029614,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000032399,ENSMUSG00000045128,ENSMUSG00000040952"
GO:CC,ribosomal subunit,GO:0044391,FALSE,1.37E-21,20.86209326,208,142,23,16.1971831,27387,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000026087,ENSMUSG00000003429,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000106918,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000029614,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000045128,ENSMUSG00000040952"
GO:CC,cytoplasm,GO:0005737,FALSE,9.31E-19,18.03116924,11580,142,115,80.98591549,27387,"ENSMUSG00000031897,ENSMUSG00000061306,ENSMUSG00000024608,ENSMUSG00000059713,ENSMUSG00000001323,ENSMUSG00000047675,ENSMUSG00000034902,ENSMUSG00000024219,ENSMUSG00000034485,ENSMUSG00000000088,ENSMUSG00000002395,ENSMUSG00000028447,ENSMUSG00000025508,ENSMUSG00000018411,ENSMUSG00000030729,ENSMUSG00000037754,ENSMUSG00000021520,ENSMUSG00000027438,ENSMUSG00000002580,ENSMUSG00000037805,ENSMUSG00000038366,ENSMUSG00000032171,ENSMUSG00000070493,ENSMUSG00000038453,ENSMUSG00000038717,ENSMUSG00000026087,ENSMUSG00000018567,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000039183,ENSMUSG00000060803,ENSMUSG00000073616,ENSMUSG00000052928,ENSMUSG00000051853,ENSMUSG00000062006,ENSMUSG00000024654,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000021061,ENSMUSG00000029761,ENSMUSG00000008036,ENSMUSG00000018547,ENSMUSG00000021143,ENSMUSG00000024743,ENSMUSG00000041881,ENSMUSG00000074748,ENSMUSG00000030172,ENSMUSG00000043557,ENSMUSG00000054455,ENSMUSG00000034613,ENSMUSG00000025241,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000025025,ENSMUSG00000028677,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000026123,ENSMUSG00000031818,ENSMUSG00000008668,ENSMUSG00000032788,ENSMUSG00000032890,ENSMUSG00000049517,ENSMUSG00000031819,ENSMUSG00000025290,ENSMUSG00000037499,ENSMUSG00000053617,ENSMUSG00000063063,ENSMUSG00000079435,ENSMUSG00000006575,ENSMUSG00000027890,ENSMUSG00000022770,ENSMUSG00000029614,ENSMUSG00000021557,ENSMUSG00000020658,ENSMUSG00000042462,ENSMUSG00000001211,ENSMUSG00000000915,ENSMUSG00000003072,ENSMUSG00000084786,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000020440,ENSMUSG00000038127,ENSMUSG00000019066,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000070738,ENSMUSG00000062691,ENSMUSG00000015709,ENSMUSG00000067847,ENSMUSG00000028998,ENSMUSG00000014294,ENSMUSG00000062580,ENSMUSG00000029632,ENSMUSG00000039850,ENSMUSG00000036698,ENSMUSG00000054728,ENSMUSG00000032399,ENSMUSG00000026275,ENSMUSG00000030000,ENSMUSG00000031029,ENSMUSG00000045128,ENSMUSG00000040356,ENSMUSG00000011589,ENSMUSG00000042901,ENSMUSG00000040785,ENSMUSG00000040952,ENSMUSG00000077450,ENSMUSG00000009073,ENSMUSG00000032479"
GO:CC,ribosome,GO:0005840,FALSE,7.79E-16,15.10867419,419,142,24,16.90140845,27387,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000026087,ENSMUSG00000003429,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000041881,ENSMUSG00000106918,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000079435,ENSMUSG00000029614,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000045128,ENSMUSG00000040952"
GO:CC,intracellular anatomical structure,GO:0005622,FALSE,1.34E-13,12.87159368,17468,142,132,92.95774648,27387,"ENSMUSG00000031897,ENSMUSG00000061306,ENSMUSG00000038628,ENSMUSG00000044627,ENSMUSG00000024608,ENSMUSG00000028411,ENSMUSG00000059713,ENSMUSG00000001323,ENSMUSG00000047675,ENSMUSG00000034902,ENSMUSG00000038437,ENSMUSG00000024219,ENSMUSG00000034485,ENSMUSG00000000088,ENSMUSG00000002395,ENSMUSG00000028447,ENSMUSG00000025508,ENSMUSG00000036180,ENSMUSG00000018411,ENSMUSG00000030729,ENSMUSG00000022205,ENSMUSG00000037754,ENSMUSG00000021520,ENSMUSG00000027438,ENSMUSG00000002580,ENSMUSG00000037805,ENSMUSG00000038366,ENSMUSG00000032171,ENSMUSG00000070493,ENSMUSG00000038453,ENSMUSG00000000823,ENSMUSG00000038717,ENSMUSG00000026087,ENSMUSG00000018567,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000039183,ENSMUSG00000060803,ENSMUSG00000073616,ENSMUSG00000052928,ENSMUSG00000063632,ENSMUSG00000051853,ENSMUSG00000062006,ENSMUSG00000024654,ENSMUSG00000098274,ENSMUSG00000071644,ENSMUSG00000021061,ENSMUSG00000029761,ENSMUSG00000008036,ENSMUSG00000018547,ENSMUSG00000021143,ENSMUSG00000024743,ENSMUSG00000041881,ENSMUSG00000074748,ENSMUSG00000030172,ENSMUSG00000043557,ENSMUSG00000054455,ENSMUSG00000034613,ENSMUSG00000025241,ENSMUSG00000106918,ENSMUSG00000028700,ENSMUSG00000031508,ENSMUSG00000025025,ENSMUSG00000025144,ENSMUSG00000028677,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000006435,ENSMUSG00000059734,ENSMUSG00000054428,ENSMUSG00000067629,ENSMUSG00000026123,ENSMUSG00000031818,ENSMUSG00000008668,ENSMUSG00000032788,ENSMUSG00000032890,ENSMUSG00000049517,ENSMUSG00000031819,ENSMUSG00000025290,ENSMUSG00000037499,ENSMUSG00000053617,ENSMUSG00000063063,ENSMUSG00000073436,ENSMUSG00000079435,ENSMUSG00000006575,ENSMUSG00000027890,ENSMUSG00000022770,ENSMUSG00000089715,ENSMUSG00000029614,ENSMUSG00000021557,ENSMUSG00000020658,ENSMUSG00000042462,ENSMUSG00000001211,ENSMUSG00000000915,ENSMUSG00000003072,ENSMUSG00000084786,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000020440,ENSMUSG00000038127,ENSMUSG00000019066,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000070738,ENSMUSG00000062691,ENSMUSG00000015709,ENSMUSG00000067847,ENSMUSG00000028998,ENSMUSG00000033020,ENSMUSG00000014294,ENSMUSG00000062580,ENSMUSG00000029632,ENSMUSG00000022389,ENSMUSG00000039850,ENSMUSG00000036698,ENSMUSG00000062328,ENSMUSG00000054728,ENSMUSG00000032399,ENSMUSG00000026275,ENSMUSG00000030000,ENSMUSG00000031029,ENSMUSG00000026918,ENSMUSG00000045128,ENSMUSG00000040356,ENSMUSG00000011589,ENSMUSG00000042901,ENSMUSG00000040785,ENSMUSG00000040952,ENSMUSG00000077450,ENSMUSG00000009073,ENSMUSG00000032479"
GO:CC,large ribosomal subunit,GO:0015934,TRUE,1.94E-12,11.71329995,129,142,14,9.85915493,27387,"ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000026087,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000106918,ENSMUSG00000074129,ENSMUSG00000079435,ENSMUSG00000029614,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000062328,ENSMUSG00000032399,ENSMUSG00000045128"
GO:CC,synapse,GO:0045202,TRUE,2.40E-12,11.61994986,1515,142,36,25.35211268,27387,"ENSMUSG00000024608,ENSMUSG00000034902,ENSMUSG00000025508,ENSMUSG00000018411,ENSMUSG00000027438,ENSMUSG00000032171,ENSMUSG00000038453,ENSMUSG00000032060,ENSMUSG00000098274,ENSMUSG00000029761,ENSMUSG00000008036,ENSMUSG00000024743,ENSMUSG00000030172,ENSMUSG00000043557,ENSMUSG00000034613,ENSMUSG00000006435,ENSMUSG00000067629,ENSMUSG00000008668,ENSMUSG00000032890,ENSMUSG00000049517,ENSMUSG00000063063,ENSMUSG00000022770,ENSMUSG00000029614,ENSMUSG00000000915,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000019066,ENSMUSG00000008682,ENSMUSG00000054728,ENSMUSG00000032399,ENSMUSG00000030000,ENSMUSG00000045128,ENSMUSG00000040952,ENSMUSG00000077450,ENSMUSG00000009073,ENSMUSG00000032479"
GO:CC,cytosolic large ribosomal subunit,GO:0022625,FALSE,1.29E-11,10.88858915,66,142,11,7.746478873,27387,"ENSMUSG00000025508,ENSMUSG00000037805,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000074129,ENSMUSG00000079435,ENSMUSG00000029614,ENSMUSG00000041841,ENSMUSG00000008682,ENSMUSG00000032399,ENSMUSG00000045128"
GO:CC,neuron to neuron synapse,GO:0098984,FALSE,1.39E-11,10.8562365,411,142,20,14.08450704,27387,"ENSMUSG00000024608,ENSMUSG00000034902,ENSMUSG00000018411,ENSMUSG00000038453,ENSMUSG00000032060,ENSMUSG00000029761,ENSMUSG00000024743,ENSMUSG00000030172,ENSMUSG00000006435,ENSMUSG00000067629,ENSMUSG00000008668,ENSMUSG00000063063,ENSMUSG00000022770,ENSMUSG00000029614,ENSMUSG00000000915,ENSMUSG00000032399,ENSMUSG00000030000,ENSMUSG00000045128,ENSMUSG00000040952,ENSMUSG00000032479"
GO:CC,postsynaptic density,GO:0014069,FALSE,2.30E-11,10.63897274,369,142,19,13.38028169,27387,"ENSMUSG00000024608,ENSMUSG00000034902,ENSMUSG00000018411,ENSMUSG00000038453,ENSMUSG00000032060,ENSMUSG00000029761,ENSMUSG00000030172,ENSMUSG00000006435,ENSMUSG00000067629,ENSMUSG00000008668,ENSMUSG00000063063,ENSMUSG00000022770,ENSMUSG00000029614,ENSMUSG00000000915,ENSMUSG00000032399,ENSMUSG00000030000,ENSMUSG00000045128,ENSMUSG00000040952,ENSMUSG00000032479"
GO:CC,asymmetric synapse,GO:0032279,FALSE,3.37E-11,10.4725592,377,142,19,13.38028169,27387,"ENSMUSG00000024608,ENSMUSG00000034902,ENSMUSG00000018411,ENSMUSG00000038453,ENSMUSG00000032060,ENSMUSG00000029761,ENSMUSG00000030172,ENSMUSG00000006435,ENSMUSG00000067629,ENSMUSG00000008668,ENSMUSG00000063063,ENSMUSG00000022770,ENSMUSG00000029614,ENSMUSG00000000915,ENSMUSG00000032399,ENSMUSG00000030000,ENSMUSG00000045128,ENSMUSG00000040952,ENSMUSG00000032479"
GO:CC,postsynaptic specialization,GO:0099572,FALSE,4.07E-11,10.39082765,381,142,19,13.38028169,27387,"ENSMUSG00000024608,ENSMUSG00000034902,ENSMUSG00000018411,ENSMUSG00000038453,ENSMUSG00000032060,ENSMUSG00000029761,ENSMUSG00000030172,ENSMUSG00000006435,ENSMUSG00000067629,ENSMUSG00000008668,ENSMUSG00000063063,ENSMUSG00000022770,ENSMUSG00000029614,ENSMUSG00000000915,ENSMUSG00000032399,ENSMUSG00000030000,ENSMUSG00000045128,ENSMUSG00000040952,ENSMUSG00000032479"
GO:CC,cytosol,GO:0005829,FALSE,3.98E-10,9.399837771,4122,142,56,39.43661972,27387,"ENSMUSG00000031897,ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000034902,ENSMUSG00000024219,ENSMUSG00000034485,ENSMUSG00000028447,ENSMUSG00000025508,ENSMUSG00000018411,ENSMUSG00000030729,ENSMUSG00000002580,ENSMUSG00000037805,ENSMUSG00000032171,ENSMUSG00000018567,ENSMUSG00000032060,ENSMUSG00000003429,ENSMUSG00000039183,ENSMUSG00000060803,ENSMUSG00000052928,ENSMUSG00000062006,ENSMUSG00000098274,ENSMUSG00000021061,ENSMUSG00000024743,ENSMUSG00000030172,ENSMUSG00000025025,ENSMUSG00000067288,ENSMUSG00000074129,ENSMUSG00000087260,ENSMUSG00000031818,ENSMUSG00000008668,ENSMUSG00000032788,ENSMUSG00000032890,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000063063,ENSMUSG00000079435,ENSMUSG00000006575,ENSMUSG00000027890,ENSMUSG00000022770,ENSMUSG00000029614,ENSMUSG00000021557,ENSMUSG00000020658,ENSMUSG00000042462,ENSMUSG00000000915,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000038127,ENSMUSG00000008682,ENSMUSG00000037742,ENSMUSG00000070738,ENSMUSG00000036698,ENSMUSG00000054728,ENSMUSG00000032399,ENSMUSG00000045128,ENSMUSG00000040952,ENSMUSG00000009073"
GO:CC,cell junction,GO:0030054,FALSE,6.67E-10,9.176062339,2140,142,39,27.46478873,27387,"ENSMUSG00000024608,ENSMUSG00000034902,ENSMUSG00000025508,ENSMUSG00000018411,ENSMUSG00000027438,ENSMUSG00000038366,ENSMUSG00000032171,ENSMUSG00000038453,ENSMUSG00000084883,ENSMUSG00000032060,ENSMUSG00000098274,ENSMUSG00000029761,ENSMUSG00000008036,ENSMUSG00000024743,ENSMUSG00000030172,ENSMUSG00000043557,ENSMUSG00000034613,ENSMUSG00000006435,ENSMUSG00000067629,ENSMUSG00000008668,ENSMUSG00000032890,ENSMUSG00000049517,ENSMUSG00000053617,ENSMUSG00000063063,ENSMUSG00000022770,ENSMUSG00000029614,ENSMUSG00000000915,ENSMUSG00000061477,ENSMUSG00000041841,ENSMUSG00000019066,ENSMUSG00000008682,ENSMUSG00000054728,ENSMUSG00000032399,ENSMUSG00000030000,ENSMUSG00000045128,ENSMUSG00000040952,ENSMUSG00000077450,ENSMUSG00000009073,ENSMUSG00000032479"
GO:CC,cytosolic small ribosomal subunit,GO:0022627,FALSE,7.55E-10,9.122164376,47,142,9,6.338028169,27387,"ENSMUSG00000024608,ENSMUSG00000047675,ENSMUSG00000003429,ENSMUSG00000067288,ENSMUSG00000008668,ENSMUSG00000049517,ENSMUSG00000025290,ENSMUSG00000061477,ENSMUSG00000040952"
